date,precipitation,temp_max,temp_min,wind,weather,year,dayOfYear,cumulativePrecipitationByYear
2012-02-04,0.0,15.6,5.0,4.3,sun,2012,35,186.79999999999998
2012-02-05,0.0,13.9,1.7,2.9,sun,2012,36,186.79999999999998
2012-02-06,0.0,16.1,1.7,5.0,sun,2012,37,186.79999999999998
2012-02-07,0.3,15.6,7.8,5.3,rain,2012,38,187.1
2012-02-08,2.8,10.0,5.0,2.7,rain,2012,39,189.9
2012-02-09,2.5,11.1,7.8,2.4,rain,2012,40,192.4
2012-02-10,2.5,12.8,6.7,3.0,rain,2012,41,194.9
2012-02-11,0.8,8.9,5.6,3.4,rain,2012,42,195.70000000000002
2012-02-12,1.0,8.3,5.0,1.3,rain,2012,43,196.70000000000002
2012-02-13,11.4,7.2,4.4,1.4,rain,2012,44,208.10000000000002
2012-02-14,2.5,6.7,1.1,3.1,rain,2012,45,210.60000000000002
2012-02-15,0.0,7.2,0.6,1.8,drizzle,2012,46,210.60000000000002
2012-02-16,1.8,7.2,3.3,2.1,rain,2012,47,212.40000000000003
2012-02-17,17.3,10.0,4.4,3.4,rain,2012,48,229.70000000000005
2012-02-18,6.4,6.7,3.9,8.1,rain,2012,49,236.10000000000005
2012-02-19,0.0,6.7,2.2,4.7,sun,2012,50,236.10000000000005
2012-02-20,3.0,7.8,1.7,2.9,rain,2012,51,239.10000000000005
2012-02-21,0.8,10.0,7.8,7.5,rain,2012,52,239.90000000000006
2012-02-22,8.6,10.0,2.8,5.9,rain,2012,53,248.50000000000006
2012-02-23,0.0,8.3,2.8,3.9,sun,2012,54,248.50000000000006
2012-02-24,11.4,6.7,4.4,3.5,rain,2012,55,259.90000000000003
2012-02-25,0.0,7.2,2.8,6.4,rain,2012,56,259.90000000000003
2012-02-26,1.3,5.0,-1.1,3.4,snow,2012,57,261.20000000000005
2012-02-27,0.0,6.7,-2.2,3.0,sun,2012,58,261.20000000000005
2012-02-28,3.6,6.7,-0.6,4.2,snow,2012,59,264.80000000000007
2012-02-29,0.8,5.0,1.1,7.0,snow,2012,60,265.6000000000001
2012-03-01,0.0,6.1,1.1,3.1,sun,2012,61,265.6000000000001
2012-03-02,2.0,6.7,3.9,5.1,rain,2012,62,267.6000000000001
2012-03-03,0.0,12.2,6.7,7.0,sun,2012,63,267.6000000000001
2012-03-04,0.0,10.6,6.7,5.6,rain,2012,64,267.6000000000001
2012-03-05,6.9,7.8,1.1,6.2,rain,2012,65,274.50000000000006
2012-03-06,0.5,6.7,0.0,2.7,snow,2012,66,275.00000000000006
2012-03-07,0.0,8.9,-1.7,2.7,sun,2012,67,275.00000000000006
2012-03-08,0.0,15.6,0.6,2.5,sun,2012,68,275.00000000000006
2012-03-09,3.6,9.4,5.0,2.8,rain,2012,69,278.6000000000001
2012-03-10,10.4,7.2,6.1,3.4,rain,2012,70,289.00000000000006
2012-03-11,13.7,6.7,2.8,5.8,rain,2012,71,302.70000000000005
2012-03-12,19.3,8.3,0.6,6.2,snow,2012,72,322.00000000000006
2012-03-13,9.4,5.6,0.6,5.3,snow,2012,73,331.40000000000003
2012-03-14,8.6,7.8,1.1,4.7,rain,2012,74,340.00000000000006
2012-03-15,23.9,11.1,5.6,5.8,snow,2012,75,363.90000000000003
2012-03-16,8.4,8.9,3.9,5.1,rain,2012,76,372.3
2012-03-17,9.4,10.0,0.6,3.8,snow,2012,77,381.7
2012-03-18,3.6,5.0,-0.6,2.7,rain,2012,78,385.3
2012-03-19,2.0,7.2,-1.1,3.0,rain,2012,79,387.3
2012-03-20,3.6,7.8,2.2,6.4,rain,2012,80,390.90000000000003
2012-03-21,1.3,8.9,1.1,2.5,rain,2012,81,392.20000000000005
2012-03-22,4.1,10.0,1.7,2.1,rain,2012,82,396.30000000000007
2012-03-23,0.0,12.2,0.6,2.8,sun,2012,83,396.30000000000007
2012-03-24,0.0,15.0,3.3,5.2,sun,2012,84,396.30000000000007
2012-03-25,0.0,13.3,2.2,2.7,rain,2012,85,396.30000000000007
2012-03-26,0.0,12.8,6.1,4.3,drizzle,2012,86,396.30000000000007
2012-03-27,4.8,14.4,6.7,3.8,rain,2012,87,401.1000000000001
2012-03-28,1.3,10.6,7.2,5.9,rain,2012,88,402.4000000000001
2012-03-29,27.4,10.0,6.1,4.4,rain,2012,89,429.80000000000007
2012-03-30,5.6,9.4,5.0,4.7,rain,2012,90,435.4000000000001
2012-03-31,13.2,10.0,2.8,3.4,rain,2012,91,448.6000000000001
2012-04-01,1.5,8.9,4.4,6.8,rain,2012,92,450.1000000000001
2012-04-02,0.0,16.7,4.4,3.1,sun,2012,93,450.1000000000001
2012-04-03,1.5,11.7,3.3,3.1,rain,2012,94,451.6000000000001
2012-04-04,0.0,10.6,2.8,2.1,sun,2012,95,451.6000000000001
2012-04-05,4.6,9.4,2.8,1.8,snow,2012,96,456.2000000000001
2012-04-06,0.3,11.1,3.3,2.6,rain,2012,97,456.5000000000001
2012-04-07,0.0,16.1,1.7,4.3,sun,2012,98,456.5000000000001
2012-04-08,0.0,21.1,7.2,4.1,sun,2012,99,456.5000000000001
2012-04-09,0.0,20.0,6.1,2.1,sun,2012,100,456.5000000000001
2012-04-10,0.0,17.8,8.9,3.2,rain,2012,101,456.5000000000001
2012-04-11,2.3,11.1,7.2,2.6,rain,2012,102,458.8000000000001
2012-04-12,0.5,13.9,5.6,2.6,rain,2012,103,459.3000000000001
2012-04-13,0.0,15.0,3.9,4.0,drizzle,2012,104,459.3000000000001
2012-04-14,0.0,15.6,3.3,3.0,sun,2012,105,459.3000000000001
2012-04-15,0.0,16.1,7.2,2.9,rain,2012,106,459.3000000000001
2012-04-16,8.1,13.3,6.7,5.8,rain,2012,107,467.40000000000015
2012-04-17,1.8,10.0,4.4,2.0,rain,2012,108,469.20000000000016
2012-04-18,1.8,13.3,7.2,3.9,rain,2012,109,471.00000000000017
2012-04-19,10.9,13.9,5.0,2.6,rain,2012,110,481.90000000000015
2012-04-20,6.6,13.3,6.7,2.7,rain,2012,111,488.50000000000017
2012-04-21,0.0,20.0,4.4,2.3,sun,2012,112,488.50000000000017
2012-04-22,0.0,23.3,8.3,2.6,rain,2012,113,488.50000000000017
2012-04-23,0.0,21.7,8.9,3.5,sun,2012,114,488.50000000000017
2012-04-24,4.3,13.9,10.0,2.8,rain,2012,115,492.8000000000002
2012-04-25,10.7,16.7,8.9,2.6,rain,2012,116,503.50000000000017
2012-04-26,3.8,13.9,6.7,5.2,rain,2012,117,507.3000000000002
2012-04-27,0.8,13.3,6.1,4.8,rain,2012,118,508.1000000000002
2012-04-28,0.0,16.1,8.3,2.5,drizzle,2012,119,508.1000000000002
2012-04-29,4.3,15.6,8.9,1.6,rain,2012,120,512.4000000000002
2012-04-30,4.3,12.8,7.2,8.0,rain,2012,121,516.7000000000002
2012-05-01,0.5,11.7,6.1,6.4,rain,2012,122,517.2000000000002
2012-05-02,0.5,13.3,5.6,2.5,rain,2012,123,517.7000000000002
2012-05-03,18.5,11.1,7.2,3.4,rain,2012,124,536.2000000000002
2012-05-04,1.8,12.2,6.1,4.6,rain,2012,125,538.0000000000001
2012-05-05,0.0,13.3,5.0,2.3,sun,2012,126,538.0000000000001
2012-05-06,0.0,17.8,5.0,2.4,sun,2012,127,538.0000000000001
2012-05-07,0.0,23.9,6.1,2.2,sun,2012,128,538.0000000000001
2012-05-08,0.0,18.3,9.4,3.0,sun,2012,129,538.0000000000001
2012-05-09,0.0,13.3,6.7,3.9,rain,2012,130,538.0000000000001
2012-05-10,0.0,14.4,3.9,3.0,sun,2012,131,538.0000000000001
2012-05-11,0.0,18.3,4.4,4.3,sun,2012,132,538.0000000000001
2012-05-12,0.0,24.4,6.7,3.4,sun,2012,133,538.0000000000001
2012-05-13,0.0,25.6,9.4,4.2,sun,2012,134,538.0000000000001
2012-05-14,0.0,26.7,12.8,3.8,sun,2012,135,538.0000000000001
2012-05-15,0.0,24.4,9.4,4.1,drizzle,2012,136,538.0000000000001
2012-05-16,0.0,19.4,9.4,3.5,sun,2012,137,538.0000000000001
2012-05-17,0.0,17.8,6.7,2.9,rain,2012,138,538.0000000000001
2012-05-18,0.0,15.6,7.8,3.1,rain,2012,139,538.0000000000001
2012-05-19,0.0,19.4,7.2,1.5,sun,2012,140,538.0000000000001
2012-05-20,6.4,14.4,11.7,1.3,rain,2012,141,544.4000000000001
2012-05-21,14.0,16.7,10.0,4.0,rain,2012,142,558.4000000000001
2012-05-22,6.1,12.8,8.9,4.8,rain,2012,143,564.5000000000001
2012-05-23,0.3,14.4,8.9,6.3,rain,2012,144,564.8000000000001
2012-05-24,0.0,17.2,8.9,3.3,rain,2012,145,564.8000000000001
2012-05-25,0.0,22.2,8.9,3.1,rain,2012,146,564.8000000000001
2012-05-26,0.0,22.2,8.9,3.6,sun,2012,147,564.8000000000001
2012-05-27,0.0,17.2,11.7,3.7,sun,2012,148,564.8000000000001
2012-05-28,0.0,16.7,10.0,3.4,rain,2012,149,564.8000000000001
2012-05-29,0.0,16.1,7.8,1.8,sun,2012,150,564.8000000000001
2012-05-30,0.3,18.9,11.1,1.5,rain,2012,151,565.1
2012-05-31,3.8,17.8,12.2,2.7,rain,2012,152,568.9
2012-06-01,6.6,20.0,12.8,3.7,rain,2012,153,575.5
2012-06-02,0.3,18.9,10.6,3.7,rain,2012,154,575.8
2012-06-03,0.0,17.2,9.4,2.9,sun,2012,155,575.8
2012-06-04,1.3,12.8,8.9,3.1,rain,2012,156,577.0999999999999
2012-06-05,16.0,13.3,8.3,3.3,rain,2012,157,593.0999999999999
2012-06-06,0.0,16.1,6.1,3.4,sun,2012,158,593.0999999999999
2012-06-07,16.5,16.1,8.9,3.5,rain,2012,159,609.5999999999999
2012-06-08,1.5,15.0,8.3,3.0,rain,2012,160,611.0999999999999
2012-06-09,0.0,17.2,8.3,4.7,rain,2012,161,611.0999999999999
2012-06-10,0.0,18.9,10.0,2.9,sun,2012,162,611.0999999999999
2012-06-11,0.0,23.3,10.0,1.8,rain,2012,163,611.0999999999999
2012-06-12,0.8,18.3,12.8,3.9,rain,2012,164,611.8999999999999
2012-06-13,0.0,16.1,11.1,4.3,sun,2012,165,611.8999999999999
2012-06-14,0.0,17.2,10.0,2.7,sun,2012,166,611.8999999999999
2012-06-15,0.0,22.2,9.4,1.7,sun,2012,167,611.8999999999999
2012-06-16,0.0,21.1,15.0,4.1,rain,2012,168,611.8999999999999
2012-06-17,0.0,18.9,11.7,6.4,sun,2012,169,611.8999999999999
2012-06-18,3.0,17.2,10.0,3.8,rain,2012,170,614.8999999999999
2012-06-19,1.0,19.4,10.0,3.0,rain,2012,171,615.8999999999999
2012-06-20,0.0,24.4,10.0,3.0,sun,2012,172,615.8999999999999
2012-06-21,0.0,23.9,11.7,2.1,sun,2012,173,615.8999999999999
2012-06-22,15.7,13.9,11.7,1.9,rain,2012,174,631.5999999999999
2012-06-23,8.6,15.6,9.4,2.5,rain,2012,175,640.1999999999999
2012-06-24,0.0,19.4,9.4,2.0,drizzle,2012,176,640.1999999999999
2012-06-25,0.5,19.4,11.1,3.1,rain,2012,177,640.6999999999999
2012-06-26,0.0,18.3,10.6,3.4,rain,2012,178,640.6999999999999
2012-06-27,0.0,22.8,8.9,1.8,sun,2012,179,640.6999999999999
2012-06-28,0.0,22.2,11.7,2.5,rain,2012,180,640.6999999999999
2012-06-29,0.3,21.7,15.0,1.9,rain,2012,181,640.9999999999999
2012-06-30,3.0,20.0,13.3,2.4,rain,2012,182,643.9999999999999
2012-07-01,0.0,20.0,12.2,2.3,rain,2012,183,643.9999999999999
2012-07-02,2.0,18.9,11.7,2.1,rain,2012,184,645.9999999999999
2012-07-03,5.8,18.3,10.6,6.0,rain,2012,185,651.7999999999998
2012-07-04,0.0,20.6,9.4,3.8,sun,2012,186,651.7999999999998
2012-07-05,0.0,24.4,10.6,3.1,drizzle,2012,187,651.7999999999998
2012-07-06,0.0,25.0,11.1,2.1,sun,2012,188,651.7999999999998
2012-07-07,0.0,26.7,12.8,3.8,sun,2012,189,651.7999999999998
2012-07-08,0.0,28.3,14.4,2.8,rain,2012,190,651.7999999999998
2012-07-09,1.5,25.0,12.8,2.0,rain,2012,191,653.2999999999998
2012-07-10,0.0,23.9,11.1,2.3,drizzle,2012,192,653.2999999999998
2012-07-11,0.0,27.8,13.3,2.9,fog,2012,193,653.2999999999998
2012-07-12,0.0,25.6,13.3,2.7,drizzle,2012,194,653.2999999999998
2012-07-13,0.5,23.3,13.9,2.2,rain,2012,195,653.7999999999998
2012-07-14,0.0,25.0,15.0,2.2,rain,2012,196,653.7999999999998
2012-07-15,0.0,18.9,13.3,3.8,rain,2012,197,653.7999999999998
2012-07-16,0.3,26.1,13.3,2.5,rain,2012,198,654.0999999999998
2012-07-17,0.0,21.7,15.0,2.6,sun,2012,199,654.0999999999998
2012-07-18,0.0,21.1,14.4,2.9,sun,2012,200,654.0999999999998
2012-07-19,0.0,25.0,14.4,2.2,sun,2012,201,654.0999999999998
2012-07-20,15.2,19.4,13.9,4.0,rain,2012,202,669.2999999999998
2012-07-21,0.0,23.9,13.9,2.3,sun,2012,203,669.2999999999998
2012-07-22,1.0,20.6,12.2,3.9,rain,2012,204,670.2999999999998
2012-07-23,0.0,18.9,11.1,3.3,rain,2012,205,670.2999999999998
2012-07-24,0.0,23.3,12.2,4.3,sun,2012,206,670.2999999999998
2012-07-25,0.0,26.7,12.8,2.6,sun,2012,207,670.2999999999998
2012-07-26,0.0,25.6,12.8,2.2,drizzle,2012,208,670.2999999999998
2012-07-27,0.0,18.9,13.9,2.8,drizzle,2012,209,670.2999999999998
2012-07-28,0.0,22.2,13.3,1.7,drizzle,2012,210,670.2999999999998
2012-07-29,0.0,22.8,15.0,2.0,sun,2012,211,670.2999999999998
2012-07-30,0.0,19.4,13.3,3.0,sun,2012,212,670.2999999999998
2012-07-31,0.0,22.8,13.9,2.8,sun,2012,213,670.2999999999998
2012-08-01,0.0,23.9,13.3,2.2,drizzle,2012,214,670.2999999999998
2012-08-02,0.0,23.3,12.2,2.5,sun,2012,215,670.2999999999998
2012-08-03,0.0,27.2,12.8,3.9,sun,2012,216,670.2999999999998
2012-08-04,0.0,33.9,16.7,3.7,sun,2012,217,670.2999999999998
2012-08-05,0.0,33.9,17.8,1.9,sun,2012,218,670.2999999999998
2012-08-06,0.0,28.3,15.6,2.5,rain,2012,219,670.2999999999998
2012-08-07,0.0,21.1,15.0,2.6,drizzle,2012,220,670.2999999999998
2012-08-08,0.0,22.2,15.0,3.1,sun,2012,221,670.2999999999998
2012-08-09,0.0,24.4,14.4,3.8,drizzle,2012,222,670.2999999999998
2012-08-10,0.0,25.6,12.2,2.3,sun,2012,223,670.2999999999998
2012-08-11,0.0,28.3,13.3,2.5,sun,2012,224,670.2999999999998
2012-08-12,0.0,30.6,15.0,3.0,sun,2012,225,670.2999999999998
2012-08-13,0.0,30.6,15.0,2.8,sun,2012,226,670.2999999999998
2012-08-14,0.0,28.9,13.9,2.8,sun,2012,227,670.2999999999998
2012-08-15,0.0,31.1,16.7,4.7,sun,2012,228,670.2999999999998
2012-08-16,0.0,34.4,18.3,2.8,sun,2012,229,670.2999999999998
2012-08-17,0.0,32.8,16.1,1.8,sun,2012,230,670.2999999999998
2012-08-18,0.0,21.7,14.4,3.0,drizzle,2012,231,670.2999999999998
2012-08-19,0.0,23.3,15.0,2.7,drizzle,2012,232,670.2999999999998
2012-08-20,0.0,25.6,15.0,1.9,sun,2012,233,670.2999999999998
2012-08-21,0.0,23.3,13.3,3.0,rain,2012,234,670.2999999999998
2012-08-22,0.0,22.2,13.3,2.3,sun,2012,235,670.2999999999998
2012-08-23,0.0,21.1,13.9,3.8,sun,2012,236,670.2999999999998
2012-08-24,0.0,22.2,10.0,3.3,sun,2012,237,670.2999999999998
2012-08-25,0.0,26.1,11.7,3.2,sun,2012,238,670.2999999999998
2012-08-26,0.0,21.1,12.2,3.4,sun,2012,239,670.2999999999998
2012-08-27,0.0,23.9,13.3,1.8,sun,2012,240,670.2999999999998
2012-08-28,0.0,22.8,12.2,3.2,sun,2012,241,670.2999999999998
2012-08-29,0.0,22.8,13.3,2.4,sun,2012,242,670.2999999999998
2012-08-30,0.0,22.8,12.8,1.9,sun,2012,243,670.2999999999998
2012-08-31,0.0,22.2,10.6,2.9,sun,2012,244,670.2999999999998
2012-09-01,0.0,21.7,10.6,2.1,sun,2012,245,670.2999999999998
2012-09-02,0.0,21.1,10.0,2.0,sun,2012,246,670.2999999999998
2012-09-03,0.0,22.8,12.8,3.3,sun,2012,247,670.2999999999998
2012-09-04,0.0,24.4,11.1,3.1,sun,2012,248,670.2999999999998
2012-09-05,0.0,26.1,11.7,2.6,sun,2012,249,670.2999999999998
2012-09-06,0.0,28.3,14.4,4.2,sun,2012,250,670.2999999999998
2012-09-07,0.0,32.2,13.3,3.1,sun,2012,251,670.2999999999998
2012-09-08,0.0,25.0,13.3,3.0,sun,2012,252,670.2999999999998
2012-09-09,0.3,18.9,13.9,5.0,rain,2012,253,670.5999999999998
2012-09-10,0.3,20.0,11.7,3.9,rain,2012,254,670.8999999999997
2012-09-11,0.0,20.0,8.9,4.2,sun,2012,255,670.8999999999997
2012-09-12,0.0,22.2,10.0,5.6,sun,2012,256,670.8999999999997
2012-09-13,0.0,27.8,11.7,3.6,sun,2012,257,670.8999999999997
2012-09-14,0.0,26.1,11.1,1.5,sun,2012,258,670.8999999999997
2012-09-15,0.0,22.2,11.1,1.9,sun,2012,259,670.8999999999997
2012-09-16,0.0,24.4,9.4,2.3,sun,2012,260,670.8999999999997
2012-09-17,0.0,27.8,11.7,2.2,fog,2012,261,670.8999999999997
2012-09-18,0.0,27.8,11.7,1.4,sun,2012,262,670.8999999999997
2012-09-19,0.0,23.9,11.7,1.9,drizzle,2012,263,670.8999999999997
2012-09-20,0.0,19.4,10.0,2.5,drizzle,2012,264,670.8999999999997
2012-09-21,0.0,16.1,12.8,2.1,drizzle,2012,265,670.8999999999997
2012-09-22,0.3,19.4,11.7,1.1,rain,2012,266,671.1999999999997
2012-09-23,0.0,19.4,10.0,1.4,fog,2012,267,671.1999999999997
2012-09-24,0.0,21.1,10.0,1.8,fog,2012,268,671.1999999999997
2012-09-25,0.0,19.4,11.1,1.7,sun,2012,269,671.1999999999997
2012-09-26,0.0,19.4,9.4,1.7,drizzle,2012,270,671.1999999999997
2012-09-27,0.0,22.8,10.0,1.7,drizzle,2012,271,671.1999999999997
2012-09-28,0.0,25.0,12.2,1.1,rain,2012,272,671.1999999999997
2012-09-29,0.0,20.6,12.2,4.3,sun,2012,273,671.1999999999997
2012-09-30,0.0,21.1,7.8,3.1,sun,2012,274,671.1999999999997
2012-10-01,0.0,23.3,8.9,3.0,sun,2012,275,671.1999999999997
2012-10-02,0.0,17.8,10.0,4.1,sun,2012,276,671.1999999999997
2012-10-03,0.0,18.9,7.8,7.3,sun,2012,277,671.1999999999997
2012-10-04,0.0,18.9,8.3,6.5,sun,2012,278,671.1999999999997
2012-10-05,0.0,21.7,8.9,5.7,sun,2012,279,671.1999999999997
2012-10-06,0.0,23.9,7.8,5.1,sun,2012,280,671.1999999999997
2012-10-07,0.0,23.9,7.8,1.3,sun,2012,281,671.1999999999997
2012-10-08,0.0,21.1,7.8,1.9,sun,2012,282,671.1999999999997
2012-10-09,0.0,16.1,8.9,1.6,drizzle,2012,283,671.1999999999997
2012-10-10,0.0,12.2,8.3,1.4,drizzle,2012,284,671.1999999999997
2012-10-11,0.0,13.9,7.2,1.3,drizzle,2012,285,671.1999999999997
2012-10-12,2.0,13.9,8.9,4.6,rain,2012,286,673.1999999999997
2012-10-13,4.8,15.6,12.2,3.9,rain,2012,287,677.9999999999997
2012-10-14,16.5,17.8,13.3,3.4,rain,2012,288,694.4999999999997
2012-10-15,7.9,17.2,11.1,4.6,rain,2012,289,702.3999999999996
2012-10-16,0.0,16.1,8.3,5.5,sun,2012,290,702.3999999999996
2012-10-17,0.0,14.4,6.1,1.6,sun,2012,291,702.3999999999996
2012-10-18,20.8,17.8,6.7,2.0,rain,2012,292,723.1999999999996
2012-10-19,4.8,15.0,9.4,5.3,rain,2012,293,727.9999999999995
2012-10-20,0.5,11.1,6.1,5.7,rain,2012,294,728.4999999999995
2012-10-21,6.4,11.7,4.4,2.7,rain,2012,295,734.8999999999995
2012-10-22,8.9,7.8,3.3,2.6,rain,2012,296,743.7999999999995
2012-10-23,0.0,11.1,5.6,3.0,rain,2012,297,743.7999999999995
2012-10-24,7.1,11.7,6.1,2.1,rain,2012,298,750.8999999999995
2012-10-25,0.0,11.7,6.7,1.5,sun,2012,299,750.8999999999995
2012-10-26,1.5,11.1,7.2,2.5,rain,2012,300,752.3999999999995
2012-10-27,23.1,14.4,9.4,5.1,rain,2012,301,775.4999999999995
2012-10-28,6.1,14.4,10.0,3.8,rain,2012,302,781.5999999999996
2012-10-29,10.9,15.6,10.0,4.9,rain,2012,303,792.4999999999995
2012-10-30,34.5,15.0,12.2,2.8,rain,2012,304,826.9999999999995
2012-10-31,14.5,15.6,11.1,2.7,rain,2012,305,841.4999999999995
2012-11-01,9.7,15.0,10.6,3.0,rain,2012,306,851.1999999999996
2012-11-02,5.6,15.0,10.6,1.0,rain,2012,307,856.7999999999996
2012-11-03,0.5,15.6,11.1,3.6,rain,2012,308,857.2999999999996
2012-11-04,8.1,17.8,12.8,3.8,rain,2012,309,865.3999999999996
2012-11-05,0.8,15.0,7.8,4.0,rain,2012,310,866.1999999999996
2012-11-06,0.3,12.8,6.7,3.5,rain,2012,311,866.4999999999995
2012-11-07,0.0,12.2,3.9,3.4,rain,2012,312,866.4999999999995
2012-11-08,0.0,10.0,1.1,3.4,rain,2012,313,866.4999999999995
2012-11-09,0.0,8.9,1.1,2.0,rain,2012,314,866.4999999999995
2012-11-10,0.0,7.8,-0.6,2.2,sun,2012,315,866.4999999999995
2012-11-11,15.2,8.9,1.1,3.0,rain,2012,316,881.6999999999996
2012-11-12,3.6,12.8,6.1,3.0,rain,2012,317,885.2999999999996
2012-11-13,5.3,11.1,7.8,2.5,rain,2012,318,890.5999999999996
2012-11-14,0.8,11.1,5.0,2.6,rain,2012,319,891.3999999999995
2012-11-15,0.0,9.4,2.8,2.4,drizzle,2012,320,891.3999999999995
2012-11-16,5.6,9.4,2.2,1.6,rain,2012,321,896.9999999999995
2012-11-17,6.1,12.2,6.1,5.3,rain,2012,322,903.0999999999996
2012-11-18,7.9,10.0,6.1,4.9,rain,2012,323,910.9999999999995
2012-11-19,54.1,13.3,8.3,6.0,rain,2012,324,965.0999999999996
2012-11-20,3.8,11.1,7.2,4.2,rain,2012,325,968.8999999999995
2012-11-21,11.2,8.3,3.9,5.5,rain,2012,326,980.0999999999996
2012-11-22,0.0,8.9,2.8,1.5,rain,2012,327,980.0999999999996
2012-11-23,32.0,9.4,6.1,2.4,rain,2012,328,1012.0999999999996
2012-11-24,0.0,8.9,3.9,1.2,rain,2012,329,1012.0999999999996
2012-11-25,0.0,8.3,1.1,3.6,drizzle,2012,330,1012.0999999999996
2012-11-26,0.0,9.4,1.7,3.8,fog,2012,331,1012.0999999999996
2012-11-27,0.0,10.0,1.7,1.5,sun,2012,332,1012.0999999999996
2012-11-28,2.8,9.4,2.2,2.9,rain,2012,333,1014.8999999999995
2012-11-29,1.5,12.8,7.8,4.2,rain,2012,334,1016.3999999999995
2012-11-30,35.6,15.0,7.8,4.6,rain,2012,335,1051.9999999999995
2012-12-01,4.1,13.3,8.3,5.5,rain,2012,336,1056.0999999999995
2012-12-02,19.6,8.3,7.2,6.2,rain,2012,337,1075.6999999999994
2012-12-03,13.0,9.4,7.2,4.4,rain,2012,338,1088.6999999999994
2012-12-04,14.2,11.7,7.2,6.2,rain,2012,339,1102.8999999999994
2012-12-05,1.5,8.9,4.4,5.0,rain,2012,340,1104.3999999999994
2012-12-06,1.5,7.2,6.1,5.1,rain,2012,341,1105.8999999999994
2012-12-07,1.0,7.8,3.3,4.6,rain,2012,342,1106.8999999999994
2012-12-08,0.0,6.7,3.3,2.0,sun,2012,343,1106.8999999999994
2012-12-09,1.5,6.7,2.8,2.1,rain,2012,344,1108.3999999999994
2012-12-10,0.5,7.2,5.6,1.8,rain,2012,345,1108.8999999999994
2012-12-11,3.0,7.8,5.6,4.5,rain,2012,346,1111.8999999999994
2012-12-12,8.1,6.7,4.4,2.0,rain,2012,347,1119.9999999999993
2012-12-13,2.3,7.2,3.3,2.8,rain,2012,348,1122.2999999999993
2012-12-14,7.9,6.1,1.1,1.7,rain,2012,349,1130.1999999999994
2012-12-15,5.3,4.4,0.6,5.1,snow,2012,350,1135.4999999999993
2012-12-16,22.6,6.7,3.3,5.5,snow,2012,351,1158.0999999999992
2012-12-17,2.0,8.3,1.7,9.5,rain,2012,352,1160.0999999999992
2012-12-18,3.3,3.9,0.6,5.3,snow,2012,353,1163.3999999999992
2012-12-19,13.7,8.3,1.7,5.8,snow,2012,354,1177.0999999999992
2012-12-20,13.2,7.2,0.6,3.7,rain,2012,355,1190.2999999999993
2012-12-21,1.8,8.3,-1.7,1.7,rain,2012,356,1192.0999999999992
